Id,Label,tf,ntf,df,idf,nidf,tdf,tf-idf,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Stopwords
10770,has,15745,5.432254044,10988,1.515239237,1.398853946,173006060,8.231164473,2165,659,2824,13163,12310,25473,4,0.488067,0.504244,0.004151,Yes
17849,also,15524,5.446389685,11597,1.461296561,1.338046216,180031828,7.958790518,1473,930,2403,13259,10029,23288,4,0.49505,0.514164,0.004185,No
417,when,9131,5.977101681,6645,2.018178313,1.949429693,60675495,12.06285699,1776,790,2566,6405,7621,14026,4,0.48944,0.507694,0.003627,Yes
1800,their,9312,5.957473007,6061,2.110168202,2.047655587,56440032,12.57127011,951,1279,2230,7839,5821,13660,4,0.484061,0.513098,0.003681,Yes
6576,one,13109,5.615477881,9559,1.654559886,1.554100575,125308931,9.291144444,1135,1175,2310,11039,11963,23002,4,0.500564,0.522449,0.003394,No
5998,people,16292,5.398041331,10184,1.591126956,1.48372217,165917728,8.588969068,1190,913,2103,14057,12910,26967,4,0.496504,0.514811,0.003354,No
12102,first,11326,5.761675931,8040,1.827613922,1.743810058,91061040,10.53011915,686,1350,2036,10362,7990,18352,4,0.503589,0.527731,0.003016,No
2988,some,8245,6.079048664,6114,2.101298236,2.038210633,50409930,12.77389423,1326,839,2165,6179,4659,10838,4,0.488981,0.508291,0.002778,Yes
7947,may,6210,6.362616002,4707,2.362992243,2.314789894,29230470,15.03481226,1231,697,1928,4635,5849,10484,4,0.490847,0.506882,0.002846,No
376,who,8877,6.005313236,6362,2.061700212,1.995978348,56475474,12.38115557,1278,452,1730,5899,5959,11858,4,0.481239,0.495517,0.0031,Yes
1778,there,11168,5.775724352,8204,1.807421165,1.721832384,91622272,10.43916644,1675,341,2016,7116,10681,17797,4,0.484709,0.495897,0.002538,Yes
6826,not,13131,5.613801051,8505,1.771388779,1.682515708,111679155,9.944224192,511,1104,1615,11236,10602,21838,4,0.496379,0.518318,0.00287,Yes
8664,like,5485,6.486759805,4164,2.485566854,2.443046369,22839540,16.12327516,828,990,1818,2896,4211,7107,4,0.496851,0.516487,0.002467,No
16296,born,7312,6.199260064,5588,2.191421564,2.133931337,40859456,13.58519218,989,399,1388,4400,6875,11275,4,0.484868,0.497103,0.003213,No
452,were,12232,5.68472143,7247,1.931455415,1.856237619,88645304,10.97978599,965,824,1789,6590,7112,13702,4,0.494608,0.511849,0.002187,Yes
7331,most,8844,6.009037635,6965,1.971145398,1.898963224,61598460,11.84468688,981,665,1646,7504,6237,13741,4,0.476064,0.495808,0.002217,Yes
16808,because,5925,6.409596211,4744,2.355162344,2.306571655,28108200,15.09563963,1423,391,1814,3935,5573,9508,4,0.482063,0.494977,0.001956,Yes
10602,her,5338,6.513925847,1969,3.234517206,3.214641377,10510522,21.06940523,657,800,1457,4122,4230,8352,4,0.492113,0.509685,0.002342,Yes
18321,about,9247,5.964369586,6882,1.983133698,1.911843235,63637854,11.82814231,870,839,1709,6802,6769,13571,4,0.493852,0.51161,0.001748,Yes
8122,many,9802,5.906190452,7282,1.926637455,1.851042254,71378164,11.37908774,1015,693,1708,8029,4550,12579,4,0.484709,0.50254,0.0017,No
10744,have,11963,5.706958345,7819,1.855486336,1.77408273,93538697,10.58918323,659,837,1496,8205,9235,17440,4,0.491881,0.510234,0.001923,Yes
17906,all,6546,6.309922722,5206,2.262231199,2.208778776,34078476,14.27450404,873,693,1566,5102,4640,9742,4,0.490522,0.506586,0.001649,Yes
6993,new,7268,6.205295748,4785,2.34655698,2.297535794,34777380,14.56108005,764,763,1527,6395,5798,12193,4,0.487223,0.505615,0.00169,No
9389,john,2436,7.298419549,1702,3.380238975,3.363082989,4146072,24.67040221,561,509,1070,1877,1549,3426,4,0.481174,0.496578,0.002334,No
414,where,4324,6.724595999,3563,2.641440119,2.605170986,15406412,17.76261765,1014,481,1495,3085,3738,6823,4,0.484418,0.498329,0.001661,Yes
16839,be,15586,5.442403823,9839,1.625688925,1.522128974,153350654,8.847655622,154,1002,1156,15303,8795,24098,4,0.495561,0.515839,0.002142,Yes
10930,had,7029,6.23873245,4933,2.316095683,2.26551896,34674057,14.4495013,1003,500,1503,5574,5582,11156,4,0.484537,0.498775,0.001625,Yes
9669,into,5836,6.424731268,4656,2.373886295,2.326218978,27172416,15.2515815,733,623,1356,2832,4896,7728,4,0.479938,0.497812,0.001759,Yes
6571,only,5250,6.530548822,4345,2.443017247,2.398606391,22811250,15.9542434,680,852,1532,4411,4105,8516,4,0.49476,0.512469,0.001417,Yes
7373,more,6222,6.3606855,4898,2.323216047,2.273007405,30475356,14.77724662,634,759,1393,5195,4434,9629,4,0.489183,0.506915,0.001555,Yes
4326,river,4293,6.731791109,1933,3.252969805,3.233461129,8298369,21.89831321,435,581,1016,2749,2989,5738,4,0.487397,0.502314,0.001958,No
327,will,3340,6.982806091,2218,3.115437116,3.093018122,7408120,21.75449327,751,500,1251,2586,3081,5667,4,0.480341,0.495798,0.001566,Yes
3056,so,3792,6.855883314,3180,2.755161808,2.722856192,12058560,18.88906787,1016,391,1407,2789,3421,6210,4,0.484431,0.496648,0.001257,Yes
14365,county,4755,6.629580202,2187,3.129512264,3.107410241,10399185,20.74735255,525,410,935,3302,4174,7476,4,0.482942,0.495953,0.001881,No
7153,name,6061,6.386902095,4500,2.407965608,2.361933083,27274500,15.37944059,388,712,1100,5253,4746,9999,4,0.49184,0.507882,0.001522,No
3495,she,7040,6.237026693,2042,3.198113285,3.17749254,14375680,19.94671793,1273,160,1433,5349,5050,10399,4,0.468525,0.480677,0.001151,Yes
15113,city,12533,5.660331947,7605,1.883105596,1.804009921,95313465,10.65900276,535,660,1195,11035,11436,22471,4,0.491132,0.506399,0.001309,No
8299,made,8159,6.089655286,5939,2.130502236,2.069287452,48456301,12.9740242,748,474,1222,6852,7422,14274,4,0.485186,0.498747,0.001278,No
1792,then,3655,6.892680805,2968,2.82415468,2.794036232,10848040,19.46599675,816,521,1337,3093,2531,5624,4,0.486675,0.500671,0.001127,Yes
1139,two,7059,6.2344735,5450,2.216427397,2.160397735,38471550,13.81825787,573,658,1231,6195,2870,9065,4,0.489723,0.50538,0.001213,No
10100,if,3458,6.948086511,2399,3.036991021,3.012719312,8295742,21.10127635,925,220,1145,2545,3236,5781,4,0.471462,0.484015,0.001295,Yes
12810,english,3978,6.807997718,2881,2.853905549,2.824683284,11460618,19.42938247,426,629,1055,3460,2969,6429,4,0.489264,0.504511,0.001394,No
13117,each,3072,7.066448083,2384,3.043263256,3.019145217,7323648,21.5050618,590,568,1158,2316,2728,5044,4,0.482784,0.498803,0.00127,Yes
9610,iowa,1820,7.589940397,921,3.994338248,3.985095852,1676220,30.31678923,379,423,802,1360,1336,2696,4,0.473701,0.489479,0.001819,No
211,word,3046,7.074947644,2030,3.204007212,3.183508957,6183380,22.66818328,190,782,972,2909,2008,4917,4,0.488389,0.506793,0.001473,No
10146,i,2908,7.102237191,1929,3.241652812,3.221919781,5609532,23.02298716,496,404,900,2218,2359,4577,4,0.483758,0.496418,0.001547,Yes
16618,between,4673,6.646975635,3883,2.555434954,2.51584218,18145259,16.98591388,728,622,1350,2692,3941,6633,4,0.486475,0.502441,0.001018,Yes
6640,often,4529,6.678275734,3608,2.628889403,2.59215355,16340632,17.55644831,548,527,1075,3765,2428,6193,4,0.48569,0.500113,0.001258,No
1764,these,5028,6.573754608,4046,2.514314266,2.473024255,20343288,16.52848499,970,352,1322,3509,1948,5457,4,0.471099,0.486236,0.000975,Yes
16809,became,4778,6.624754849,3541,2.647633832,2.611592795,16918898,17.53992507,784,380,1164,3766,4154,7920,4,0.476077,0.490456,0.001087,No
828,very,5666,6.454293497,4303,2.452730551,2.408758664,24380798,15.83064285,439,451,890,5125,4972,10097,4,0.459145,0.478903,0.001408,Yes
13151,during,4357,6.716993151,3636,2.621158829,2.584132462,15842052,17.6063059,1059,275,1334,2722,4039,6761,4,0.471838,0.485358,0.000931,Yes
2112,system,2850,7.141457904,1756,3.34900451,3.33129904,5004600,23.91677473,398,375,773,1999,2334,4333,4,0.482718,0.495146,0.001509,No
14887,college,1529,7.764162971,802,4.132689676,4.124647585,1226258,32.08687616,341,340,681,1029,1289,2318,4,0.480419,0.492831,0.001672,No
181,would,2738,7.181549172,2027,3.205486138,3.185018503,5549926,23.02035632,625,392,1017,2166,2584,4750,4,0.452543,0.472588,0.001111,No
13939,de,3670,6.888312794,2569,2.968137106,2.942111883,9428230,20.4454568,373,210,583,1244,1922,3166,4,0.457878,0.473368,0.001937,No
1812,than,5071,6.565238862,4031,2.518028521,2.476894818,20441201,16.5314587,526,635,1161,3234,3986,7220,4,0.489399,0.504732,0.00096,Yes
6898,no,2947,7.107989195,2443,3.018816213,2.994093601,7199521,21.45771302,414,664,1078,2516,1725,4241,4,0.476,0.495723,0.001023,Yes
3271,since,2897,7.12510118,2417,3.029515904,3.005059758,7002049,21.58560734,771,401,1172,1845,2400,4245,4,0.483995,0.496526,0.000938,No
7222,music,4921,6.595265136,2265,3.094468246,3.07156849,11146065,20.40883854,538,510,1048,4037,3894,7931,4,0.48725,0.500868,0.001,No
16276,both,2482,7.279712212,2183,3.131342928,3.109281797,5418206,22.79527535,535,494,1029,1983,1584,3567,4,0.485544,0.49938,0.001006,Yes
2641,state,4760,6.628319168,3244,2.735235869,2.702269034,15441440,18.13001634,438,412,850,4183,3972,8155,4,0.484854,0.497343,0.001203,No
401,while,2101,7.446363477,1901,3.269662942,3.25048051,3994001,24.34709871,780,299,1079,1364,1411,2775,4,0.481318,0.492733,0.000893,Yes
6413,over,4095,6.778766011,3433,2.678317243,2.643384836,14058135,18.15568589,632,433,1065,2960,3357,6317,4,0.484576,0.497559,0.000901,Yes
12339,family,3159,7.038521377,2199,3.124040294,3.101815584,6946641,21.98862439,401,325,726,2514,2062,4576,4,0.482968,0.494367,0.001319,No
1630,time,6246,6.35683564,4646,2.376036371,2.328473928,29018916,15.10407268,342,667,1009,5943,5338,11281,4,0.4912,0.506558,0.000895,No
16778,before,3027,7.081204868,2657,2.934845338,2.907926795,8042739,20.7822411,809,331,1140,1862,2353,4215,4,0.482942,0.494456,0.000776,Yes
196,world,6790,6.273178692,4798,2.344052283,2.294905062,32578420,14.70465883,386,652,1038,6068,5313,11381,4,0.490562,0.505845,0.000843,No
17973,album,2942,7.109687276,1256,3.684110937,3.671481775,3695152,26.19287665,336,499,835,2643,2296,4939,4,0.486595,0.500207,0.001031,No
8906,later,3238,7.013821043,2781,2.88923243,2.861039267,9004878,20.26455922,531,442,973,2376,2175,4551,4,0.485743,0.498521,0.000882,No
9488,james,1177,8.02580807,851,4.073386156,4.064849996,1001627,32.69221548,331,334,665,940,936,1876,4,0.474309,0.488264,0.001282,No
3116,small,3315,6.990319275,2724,2.909941617,2.88233457,9030060,20.34142097,212,659,871,3089,2041,5130,4,0.480133,0.498624,0.000963,No
1796,them,4302,6.729464445,3369,2.697130261,2.662860373,14493438,18.15024219,384,580,964,3234,3797,7031,4,0.488779,0.503272,0.00087,Yes
323,william,1236,7.976896539,938,3.976048335,3.96663435,1159368,31.71652621,366,279,645,1009,927,1936,4,0.470462,0.484405,0.00129,No
1690,through,2607,7.230576763,2169,3.137776773,3.115858752,5654583,22.68793583,522,416,938,1505,2205,3710,4,0.478657,0.493,0.000881,Yes
68,you,2105,7.444461431,1243,3.694515193,3.682017671,2616515,27.50367586,435,414,849,1769,1940,3709,4,0.483244,0.49623,0.00093,Yes
11804,france,8506,6.047887544,7553,1.889965781,1.811432736,64245818,11.43030051,224,547,771,8239,4689,12928,4,0.48851,0.502441,0.001003,No
9480,january,2814,7.15416994,2012,3.212913753,3.192599205,5661768,22.98573099,358,490,848,2010,2413,4423,4,0.486595,0.500033,0.000881,No
7081,near,2109,7.442562997,1804,3.322036584,3.30384243,3804636,24.72446655,500,382,882,1467,1535,3002,4,0.47403,0.488963,0.000846,No
9146,king,3792,6.855883314,2070,3.184494398,3.163587784,7849440,21.83252201,487,367,854,3012,3219,6231,4,0.481867,0.494381,0.000872,No
1087,under,2262,7.372527521,1901,3.269662942,3.25048051,4300062,24.10568002,543,373,916,1362,1931,3293,4,0.475363,0.489794,0.000807,Yes
9962,include,1813,7.593793967,1660,3.405225403,3.388496585,3009580,25.85858012,243,606,849,871,1183,2054,4,0.480783,0.498136,0.000869,No
11048,group,3467,6.945487232,2511,2.991361925,2.965942063,8705637,20.77646606,369,358,727,2916,2927,5843,4,0.483152,0.495118,0.001,No
8929,large,2614,7.227895283,2188,3.129055121,3.106942874,5719432,22.61648275,213,625,838,2415,1543,3958,4,0.480328,0.498132,0.000863,No
17635,another,2230,7.386775313,1953,3.242676353,3.22296372,4355190,23.95292163,400,632,1032,1823,1902,3725,4,0.48851,0.50407,0.000699,No
10278,however,1999,7.496129843,1843,3.300648327,3.282056941,3684157,24.74208842,779,287,1066,1254,1727,2981,4,0.479653,0.491292,0.000664,No
544,water,2839,7.145325021,1532,3.485468934,3.470040837,4349348,24.90480838,361,396,757,2484,2228,4712,4,0.482495,0.495366,0.000908,No
4117,s,1229,7.949759998,834,4.054759307,4.046061766,1024986,32.23436334,442,417,859,886,919,1805,4,0.482168,0.495521,0.000786,Yes
11759,french,2635,7.219893716,1851,3.296316972,3.277644083,4877385,23.79905819,309,493,802,2290,1751,4041,4,0.484074,0.498324,0.000841,No
8950,language,3236,7.014438899,1600,3.442039376,3.425920482,5177600,24.14397489,299,377,676,2468,2585,5053,4,0.484233,0.496244,0.000966,No
16988,band,3350,6.979816553,1457,3.535663478,3.520996736,4880950,24.67828247,323,471,794,3032,2505,5537,4,0.485916,0.499193,0.000811,No
6797,now,2687,7.200351569,2379,3.045362774,3.021295953,6392373,21.92768263,431,443,874,2221,1906,4127,4,0.484921,0.497972,0.000715,Yes
16756,being,2554,7.251116141,2240,3.105567139,3.082923136,5720960,22.51882801,425,382,807,1996,1510,3506,4,0.481553,0.494446,0.000769,Yes
7296,movie,3545,6.922956691,1584,3.452089712,3.436133401,5615280,23.89866757,390,467,857,2912,2556,5468,4,0.485371,0.498742,0.00072,No
3686,see,1708,7.653453803,1432,3.552970937,3.538557852,2445856,27.19249893,383,441,824,1369,1425,2794,4,0.483678,0.497061,0.000738,No
14387,could,2203,7.398956831,1833,3.306089036,3.28759952,4038099,24.46161006,538,334,872,1743,2128,3871,4,0.455808,0.474086,0.000607,No
388,white,1568,7.738975976,1059,3.854717939,3.844081786,1660512,29.83156952,299,389,688,1377,1202,2579,4,0.481827,0.494756,0.000763,No
17578,any,2309,7.351962368,2054,3.192253894,3.171510643,4742686,23.4693305,307,544,851,2085,1841,3926,4,0.474524,0.492399,0.000609,Yes
3843,school,2435,7.298830142,1400,3.575570769,3.56148227,3409000,26.0974837,309,337,646,2083,2005,4088,4,0.483586,0.495033,0.000802,No
1063,up,4968,6.585759554,4092,2.503009157,2.461239649,20329056,16.48421647,450,378,828,3487,4604,8091,4,0.484048,0.496132,0.000624,Yes
11429,german,2771,7.169568632,1930,3.254523002,3.235044916,5348030,23.33352603,287,484,771,2177,1805,3982,4,0.481435,0.496301,0.000665,No
586,war,4237,6.744685439,2543,2.97830536,2.952546951,10774691,20.08773279,287,471,758,3723,3656,7379,4,0.48737,0.500221,0.000669,No
1064,until,2752,7.176448978,2403,3.035325048,3.011012356,6613056,21.78285534,666,297,963,1887,2476,4363,4,0.479329,0.49124,0.000525,Yes
6423,out,3216,7.020638547,2642,2.940506799,2.913742333,8496672,20.64423538,448,277,725,1993,2974,4967,4,0.48064,0.491799,0.000697,Yes
11129,great,2198,7.401229042,1716,3.372047004,3.354748589,3771768,24.95729222,226,464,690,2042,1540,3582,4,0.478838,0.494052,0.000724,No
9551,island,2425,7.302533088,1190,3.738089698,3.726128687,2885750,27.29752371,276,353,629,2003,2084,4087,4,0.48356,0.495338,0.000789,No
208,work,2651,7.213839971,2076,3.18160004,3.160632157,5503476,22.95155354,353,279,632,2184,2315,4499,4,0.481683,0.492601,0.000781,No
16516,black,1585,7.728192491,1042,3.870901062,3.860436709,1651570,29.91506852,321,351,672,1330,1189,2519,4,0.475427,0.489404,0.000726,No
16095,british,3082,7.062873749,2146,3.148437361,3.126754405,6613972,22.23701559,320,435,755,2840,2273,5113,4,0.47678,0.492005,0.000636,No
12575,even,1658,7.683164842,1505,3.503250107,3.488096165,2495290,26.91604805,472,316,788,1314,1301,2615,4,0.480445,0.49239,0.000608,No
3592,series,3080,7.063847301,1813,3.317060073,3.298774265,5584040,23.43120585,269,395,664,2631,2454,5085,4,0.484114,0.496493,0.00072,No
8572,little,1206,8.0014678,977,3.935311632,3.925503888,1178262,31.48826931,226,355,581,1086,935,2021,4,0.468562,0.484367,0.000822,No
12337,famous,3079,7.064172029,2565,2.970084527,2.944110619,7897635,20.98118804,218,527,745,2876,2210,5086,4,0.484167,0.499028,0.00064,No
6618,old,2467,7.285368792,2040,3.198603121,3.177992584,5032680,23.30300336,214,526,740,1727,1870,3597,4,0.486715,0.500793,0.000642,No
4304,robert,792,8.421970786,604,4.416224086,4.410175954,478368,37.19331024,260,212,472,610,512,1122,4,0.454874,0.471034,0.001006,No
1004,use,3855,6.839405891,2946,2.831594687,2.801702936,11356830,19.36642539,313,468,781,3098,3262,6360,4,0.484947,0.498479,0.000606,No
13957,david,846,8.356012818,624,4.383647916,4.377398554,527904,36.62981817,273,231,504,633,475,1108,4,0.471049,0.483921,0.000926,No
17392,around,2939,7.110707511,2520,2.987784104,2.962271922,7406280,21.24525887,511,340,851,1787,2456,4243,4,0.481867,0.493878,0.000519,No
8110,march,2331,7.342479538,1891,3.274937216,3.255856713,4407921,24.04615949,339,397,736,1837,2004,3841,4,0.484947,0.497132,0.000596,No
6851,north,6561,6.307633868,5306,2.24320475,2.188696884,34812666,14.14931425,431,339,770,6042,6112,12154,4,0.478373,0.491343,0.00056,No
9085,known,7098,6.228963844,6011,2.118451881,2.056471368,42666078,13.19576017,461,355,816,5847,6682,12529,4,0.482063,0.494282,0.000524,No
8683,life,2235,7.383641216,1723,3.367395833,3.35001602,3850905,24.86364266,322,313,635,1959,1893,3852,4,0.482731,0.493972,0.000673,No
2871,species,2009,7.491139813,1109,3.808584297,3.797442681,2227981,28.53063746,280,229,509,1689,1724,3413,4,0.478283,0.489193,0.000818,No
11873,form,2146,7.425171254,1780,3.335429641,3.317479859,3819880,24.76613629,308,208,516,1819,1932,3751,4,0.478129,0.488705,0.000797,No
3712,second,2984,7.095512216,2544,2.97830536,2.952546951,7591296,21.13260206,214,537,751,2786,2241,5027,4,0.484167,0.499202,0.000539,No
1587,today,1655,7.68497589,1493,3.511255487,3.496223367,2470915,26.98391376,444,330,774,1124,1354,2478,4,0.481945,0.493737,0.000515,No
2926,south,4466,6.692283745,3354,2.701889342,2.667785015,14978964,18.08181012,398,286,684,4016,3637,7653,4,0.478502,0.490428,0.000578,No
10507,high,2046,7.471425029,1661,3.403419805,3.386660481,3398406,25.42839592,327,321,648,1661,1613,3274,4,0.474613,0.488268,0.000599,No
6801,november,1935,7.528669572,1654,3.408846409,3.3921786,3200490,25.66407823,280,291,571,1645,1686,3331,4,0.482037,0.493061,0.000673,No
8493,long,2863,7.136906872,2348,3.058479103,3.034729777,6722324,21.82808053,260,431,691,2276,2317,4593,4,0.483402,0.496672,0.000544,No
8180,man,1386,7.862354998,1061,3.852831146,3.84217478,1470546,30.29232621,236,243,479,1215,1079,2294,4,0.480627,0.49116,0.000783,No
16592,big,1618,7.70758608,1310,3.642015868,3.628839704,2119580,28.07115081,209,473,682,1468,1216,2684,4,0.48094,0.495709,0.000546,No
13420,do,3646,6.895146222,2743,2.902990793,2.875188412,10000978,20.016546,277,357,634,2769,3323,6092,4,0.481723,0.49408,0.000582,Yes
11441,george,1115,8.079922493,859,4.064029362,4.055412515,957785,32.83704226,289,230,519,901,860,1761,4,0.461305,0.476476,0.000708,No
2970,song,1998,7.496630218,1054,3.859450555,3.848864935,2105892,28.93287366,274,338,612,1752,1646,3398,4,0.481161,0.493343,0.000597,No
11277,god,1422,7.836712567,767,4.177311483,4.169622149,1090674,32.73638939,249,242,491,1273,1158,2431,4,0.479433,0.490263,0.000743,No
17200,august,2055,7.468014551,1696,3.383181019,3.366075896,3485280,25.26564508,294,314,608,1729,1760,3489,4,0.483178,0.49431,0.000599,No
15354,charles,1147,8.05162706,845,4.080461657,4.071986009,969215,32.85435549,278,240,518,898,873,1771,4,0.473007,0.485559,0.000702,No
1956,team,3675,6.887223766,2299,3.079568759,3.056321074,8448825,21.20967915,205,450,655,2489,2656,5145,4,0.485916,0.498812,0.000552,No
18064,against,1846,7.575755762,1499,3.507244786,3.492151757,2767154,26.5700299,335,357,692,1076,1461,2537,4,0.474372,0.488761,0.000522,Yes
6651,official,2846,7.142862399,2466,3.0094456,2.984487208,7018236,21.49605582,337,350,687,1251,1253,2504,4,0.477434,0.490874,0.000514,No
11477,general,1504,7.780648673,1208,3.723076906,3.710933716,1816832,28.96795339,241,304,545,1324,949,2273,4,0.480055,0.491907,0.000646,No
17498,april,2106,7.443986485,1746,3.354715548,3.337111857,3677076,24.9724572,303,332,635,1676,1807,3483,4,0.482259,0.493996,0.000554,No
4659,red,1521,7.769408885,968,3.944566197,3.934849334,1472328,30.64694766,304,308,612,1284,1170,2454,4,0.479329,0.491432,0.000572,No
10092,ii,2319,7.34764084,1731,3.363343729,3.345892688,4014189,24.71264174,214,348,562,1824,1835,3659,4,0.483178,0.494967,0.000604,No
8239,main,2628,7.222553798,2293,3.082182001,3.058995724,6026004,22.26122532,192,460,652,2397,1624,4021,4,0.476652,0.492399,0.000514,No
17445,area,4031,6.794514368,2970,2.823144409,2.792995044,11972070,19.18189525,364,323,687,3452,3594,7046,4,0.48205,0.493681,0.000486,No
14813,common,2278,7.365479033,1900,3.270189119,3.25101688,4328200,24.08650939,155,432,587,2116,1732,3848,4,0.479032,0.493587,0.000567,No
9292,just,1570,7.737701279,1435,3.550878156,3.536434636,2252950,27.47563445,367,303,670,1264,1229,2493,4,0.478399,0.490681,0.000495,Yes
1865,term,1655,7.68497589,1301,3.648909806,3.63582483,2153155,28.04178388,122,396,518,1547,1194,2741,4,0.479148,0.492982,0.00064,No
67,young,1277,7.944263321,1029,3.883455548,3.873122552,1314033,30.85119347,237,305,542,1130,945,2075,4,0.479588,0.491564,0.0006,No
6125,paul,756,8.468490801,572,4.470659293,4.464933043,432432,37.8597371,233,186,419,593,450,1043,4,0.473929,0.485207,0.000769,No
4294,rock,2047,7.472401592,1282,3.663621647,3.650729151,2624254,27.37605222,282,258,540,1566,1709,3275,4,0.479303,0.490465,0.000594,No
9207,kentucky,1017,8.171919781,530,4.546921278,4.541617342,539010,37.15707593,201,253,454,769,767,1536,4,0.464006,0.478978,0.000687,No
6210,part,6922,6.254072153,5550,2.198245077,2.141157248,38417100,13.74798332,456,159,615,6338,6810,13148,4,0.475809,0.486067,0.000504,No
16334,book,2342,7.337771633,1389,3.583458941,3.569481995,3253038,26.29460337,275,272,547,2131,1911,4042,4,0.48064,0.491695,0.000564,No
