Id,Label,timeset,tf,ntf,df,idf,nidf,tdf,tf-idf,stopword,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
49,yves,,15,12.38848198,11,8.421903011,8.421803008,165,104.3345937,0,9,5,14,10,7,17,5,0.323941,0.327944,0.000001
50,yule,,9,12.8993076,4,9.433503923,9.433473923,36,121.6856688,0,8,6,14,9,7,16,5,0.347827,0.357293,0.000001
51,yukon,,26,11.83843564,16,8.047209562,8.047059554,416,95.26637248,0,7,15,22,26,26,52,5,0.387907,0.404937,0
52,yuki,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,5,1,6,5,1,6,5,0.326263,0.329724,0
53,yuh,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,1,1,0,1,1,5,0.326552,0.330051,0
54,yugoslavia,,88,10.61919536,58,6.759355274,6.758785123,5104,71.77891418,0,22,40,62,66,63,129,4,0.453491,0.466706,0.000005
55,yugoslav,,14,12.45747485,12,8.334891634,8.334781631,168,103.8317029,0,5,3,8,11,4,15,5,0.335666,0.341802,0
56,yucca,,7,13.15062203,5,9.210360372,9.210320372,35,121.121968,0,5,6,11,5,6,11,4,0.390595,0.407451,0.000001
57,yucatan,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,2,2,4,3,3,6,5,0.322951,0.32638,0
58,yttrium,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,3,4,7,3,4,7,5,0.3755,0.390825,0.000001
59,ytterbium,,4,13.71023782,1,10.81979828,10.81979828,4,148.3420076,0,1,1,2,1,4,5,5,0.345606,0.354483,0
60,ypsilanti,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.384237,0.400402,0
61,youth,,201,9.793227269,159,5.750894082,5.749312864,31959,56.31981275,0,59,72,131,165,147,312,4,0.465673,0.476846,0.000095
62,yourselves,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,1,1,0,1,1,0,1,0,0,0,0
63,yourself,,34,11.57017165,33,7.323290723,7.322970678,1122,84.73173073,1,22,20,42,28,29,57,4,0.458362,0.470194,0.000006
64,your,,560,8.768595394,409,4.806083128,4.801994864,229040,42.14259838,1,165,196,361,495,414,909,4,0.406294,0.427314,0.000205
65,youngstown,,15,12.38848198,5,9.210360372,9.210320372,75,114.1023835,0,10,8,18,13,15,28,5,0.360749,0.373187,0.000053
66,youngster,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,2,3,1,2,3,5,0.323404,0.32732,0
67,young,,1277,7.944263321,1029,3.883455548,3.873122552,1314033,30.85119347,0,237,305,542,1130,945,2075,4,0.479588,0.491564,0.0006
68,you,,2105,7.444461431,1243,3.694515193,3.682017671,2616515,27.50367586,1,435,414,849,1769,1940,3709,4,0.483244,0.49623,0.00093
69,yost,,5,13.48709426,3,9.721185996,9.721165996,15,131.1105519,0,5,5,10,5,5,10,4,0.390046,0.406841,0
70,yosemite,,21,12.05200974,9,8.622573707,8.622493705,189,103.9193423,0,14,3,17,17,8,25,5,0.329914,0.334517,0
71,yorktown,,14,12.45747485,8,8.740356743,8.740286741,112,108.8827743,0,4,10,14,13,12,25,4,0.414288,0.43176,0
72,yorkshire,,228,9.667186548,128,5.96776802,5.966497239,29184,57.69152673,0,30,57,87,208,204,412,4,0.466395,0.477133,0.000006
73,york,,1968,7.5117591,1280,3.665182927,3.65231069,2519040,27.53197121,0,44,304,348,1945,1475,3420,4,0.480536,0.49223,0.0002
74,yore,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
75,yonkers,,7,13.15062203,3,9.721185996,9.721165996,21,127.8396427,0,4,5,9,4,6,10,4,0.393583,0.410615,0.00003
76,yolk,,9,12.8993076,8,8.740356743,8.740286741,72,112.7445502,0,5,7,12,9,8,17,4,0.437443,0.452669,0
77,yokohama,,41,11.38296011,20,7.824066011,7.823875996,820,89.0610313,0,17,12,29,27,23,50,4,0.435362,0.450942,0
78,yokel,,2,14.403385,1,10.81979828,10.81979828,2,155.8417203,0,2,2,4,2,2,4,5,0.350001,0.359755,0.000002
79,yoke,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,3,2,5,3,3,6,4,0.408351,0.425896,0
80,yogurt,,14,12.45747485,12,8.334891634,8.334781631,168,103.8317029,0,9,10,19,14,13,27,4,0.423631,0.440374,0
81,yogi,,28,11.76432767,14,8.180740955,8.180610949,392,96.24091715,0,11,17,28,17,24,41,4,0.406648,0.424239,0.000052
82,yoghurt,,5,13.48709426,3,9.721185996,9.721165996,15,131.1105519,0,3,4,7,3,5,8,5,0.346469,0.355624,0
83,yoga,,53,11.12624026,34,7.29343776,7.293107712,1802,81.14854086,0,19,29,48,29,43,72,4,0.428261,0.444994,0.000009
84,ymca,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.360829,0.373487,0
85,yin,,14,12.45747485,6,9.028038815,9.027988815,84,112.4665665,0,3,7,10,3,9,12,5,0.389841,0.406768,0
86,yield,,22,12.00548972,17,7.98658494,7.986424931,374,95.88286343,0,15,17,32,17,21,38,4,0.427323,0.444078,0.000053
87,yiddish,,19,12.1520932,14,8.180740955,8.180610949,266,99.41312651,0,13,11,24,18,17,35,4,0.440581,0.455425,0.000006
88,yew,,10,12.79394708,7,8.873888135,8.873828135,70,113.5320552,0,5,6,11,5,7,12,5,0.388561,0.405214,0
89,yet,,262,9.528187674,251,5.294345345,5.291842265,65762,50.44551606,0,99,98,197,211,210,421,4,0.470225,0.480795,0.000106
90,yesteryear,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.384237,0.400402,0
91,yesterday,,21,12.05200974,20,7.824066011,7.823875996,420,94.29571976,0,17,16,33,19,17,36,4,0.448043,0.461791,0.000001
92,yeshiva,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.398076,0.415824,0
93,yeomen,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.378607,0.394397,0
94,yeomanry,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.384237,0.400402,0
95,yeoman,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.321035,0.327202,0
96,yen,,17,12.26331883,13,8.254848927,8.254728922,221,101.2318443,0,12,11,23,16,16,32,4,0.453769,0.466368,0
97,yemen,,46,11.26789078,31,7.38581108,7.385511041,1426,83.22251257,0,20,23,43,34,36,70,4,0.445904,0.460124,0.000001
98,yellowstone,,27,11.80069531,15,8.111748083,8.111608076,405,95.72426757,0,14,10,24,23,14,37,5,0.347405,0.35651,0.000002
99,yellowknife,,2,14.403385,1,10.81979828,10.81979828,2,155.8417203,0,2,2,4,2,2,4,5,0.336021,0.342018,0
100,yellowish,,19,12.1520932,18,7.929426526,7.929256515,342,96.35913016,0,11,14,25,18,17,35,4,0.408088,0.425652,0.000001
101,yellow,,454,8.978434979,337,4.999715354,4.996349764,152998,44.88961922,0,118,152,270,398,360,758,4,0.46626,0.478795,0.000186
102,yell,,9,12.8993076,8,8.740356743,8.740286741,72,112.7445502,0,8,5,13,9,7,16,5,0.386017,0.40243,0
103,yeats,,8,13.01709064,5,9.210360372,9.210320372,40,119.8920957,0,4,6,10,7,6,13,4,0.403111,0.420662,0
104,yeast,,54,11.10754813,25,7.600922459,7.600682435,1350,84.42761206,0,18,25,43,40,38,78,4,0.445971,0.460256,0.000001
105,yearbook,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,3,5,3,3,6,5,0.348066,0.357535,0
106,year,,3641,6.896243917,2556,2.973208309,2.947316502,9306396,20.50396971,0,194,383,577,3504,2887,6391,4,0.48508,0.496977,0.000459
107,yeah,,6,13.30477271,5,9.210360372,9.210320372,30,122.5417513,0,5,4,9,5,4,9,5,0.354658,0.365365,0
108,yeager,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,1,3,4,3,3,6,5,0.377071,0.393611,0
109,ye,,10,12.79394708,8,8.740356743,8.740286741,80,111.8236617,0,6,6,12,7,7,14,5,0.367432,0.381367,0.000053
110,yawn,,6,13.30477271,1,10.81979828,10.81979828,6,143.9549569,0,5,3,8,5,4,9,4,0.389772,0.406512,0
111,yaw,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,1,2,1,1,2,5,0.398076,0.415824,0
112,yates,,10,12.79394708,7,8.873888135,8.873828135,70,113.5320552,0,7,7,14,10,7,17,5,0.390123,0.406979,0.000001
113,yarrow,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,3,5,2,3,5,5,0.346665,0.355788,0
114,yarn,,38,11.45894602,20,7.824066011,7.823875996,760,89.65555005,0,19,24,43,30,35,65,4,0.450487,0.46396,0.000002
115,yarmulke,,3,13.99791989,1,10.81979828,10.81979828,3,151.4546696,0,3,3,6,3,3,6,5,0.34945,0.359521,0
116,yarmouth,,28,11.76432767,8,8.740356743,8.740286741,224,102.8244206,0,15,19,34,23,25,48,4,0.427941,0.444449,0
117,yard,,60,11.00218762,42,7.082128666,7.08171859,2520,77.9189083,0,24,35,59,47,48,95,4,0.459859,0.471645,0.00001
118,yap,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,0,1,1,0,1,1,5,0.384234,0.400398,0
119,yaounde,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.315097,0.320424,0
120,yankee,,29,11.72923635,16,8.047209562,8.047059554,464,94.38762289,0,17,11,28,25,24,49,4,0.412449,0.429966,0.000105
121,yank,,3,13.99791989,1,10.81979828,10.81979828,3,151.4546696,0,1,2,3,1,3,4,5,0.349374,0.359427,0
122,yang,,19,12.1520932,15,8.111748083,8.111608076,285,98.57471871,0,7,8,15,8,10,18,4,0.392704,0.409756,0
123,yamaha,,16,12.32394346,8,8.740356743,8.740286741,128,107.7156623,0,8,10,18,11,12,23,4,0.395213,0.412625,0
124,yam,,4,13.71023782,4,9.433503923,9.433473923,16,129.3355822,0,2,4,6,2,4,6,5,0.37285,0.38774,0
125,yalta,,6,13.30477271,3,9.721185996,9.721165996,18,129.3381701,0,3,4,7,6,6,12,5,0.33981,0.346638,0
126,yale,,50,11.18450917,37,7.208880372,7.208520314,1850,80.62778864,0,20,16,36,42,21,63,4,0.427066,0.443628,0.000056
127,yakima,,9,12.8993076,5,9.210360372,9.210320372,45,118.8072715,0,7,3,10,9,8,17,5,0.347704,0.357079,0
128,yak,,4,13.71023782,2,10.1266511,10.1266411,8,138.8387949,0,3,3,6,3,3,6,5,0.348489,0.358037,0
129,yacht,,8,13.01709064,7,8.873888135,8.873828135,56,115.5122061,0,6,5,11,8,5,13,4,0.399977,0.417296,0.000014
130,y,,225,9.667186548,155,5.763552479,5.761991292,34875,55.71733699,1,51,52,103,101,105,206,4,0.465881,0.476616,0.000098
131,xylophone,,15,12.38848198,10,8.517213191,8.517123189,150,105.5153421,0,9,9,18,15,10,25,4,0.43485,0.450444,0.000001
132,xylem,,38,11.45894602,15,8.111748083,8.111608076,570,92.95208339,0,13,12,25,26,17,43,4,0.424472,0.441186,0.000004
133,xi,,77,10.75272676,67,6.615105665,6.61444546,5159,71.13042367,0,31,32,63,64,48,112,4,0.460897,0.472424,0.000013
134,xhosa,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,1,2,3,1,3,4,5,0.316242,0.320082,0
135,xerxes,,14,12.45747485,6,9.028038815,9.027988815,84,112.4665665,0,7,9,16,8,10,18,4,0.430891,0.446928,0
136,xerox,,6,13.30477271,5,9.210360372,9.210320372,30,122.5417513,0,4,5,9,5,5,10,5,0.369905,0.384337,0
137,xenophobia,,7,13.15062203,3,9.721185996,9.721165996,21,127.8396427,0,3,5,8,3,5,8,5,0.352994,0.363952,0
138,xenon,,16,12.32394346,5,9.210360372,9.210320372,80,113.5079604,0,10,11,21,13,12,25,5,0.38249,0.398937,0.000054
139,xavier,,23,11.96103796,20,7.824066011,7.823875996,460,93.58395057,0,9,11,20,18,13,31,4,0.416046,0.433436,0
140,x,,430,9.028106589,291,5.143044482,5.140130298,125130,46.43195378,0,128,98,226,304,331,635,4,0.469914,0.48055,0.00006
141,wysiwyg,,12,12.61162553,3,9.721185996,9.721165996,36,122.5999575,0,6,6,12,6,9,15,5,0.383855,0.400333,0
142,wyoming,,79,10.72708432,52,6.868554566,6.868044446,4108,73.67956402,0,30,36,66,72,69,141,4,0.455224,0.467992,0.000014
143,wynn,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,2,0,2,2,0,2,0,0,0,0
144,wyman,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,2,2,4,4,2,6,5,0.361042,0.373769,0
145,wyeth,,7,13.15062203,1,10.81979828,10.81979828,7,142.2870777,0,4,7,11,4,7,11,5,0.341424,0.348688,0
146,wyatt,,11,12.6986369,10,8.517213191,8.517123189,110,108.1569978,0,5,6,11,8,8,16,5,0.387492,0.404087,0
147,wy,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
148,wv,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.324314,0.327946,0
149,wuhan,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.325169,0.328458,0
150,wu,,60,11.00218762,36,7.236279346,7.235929291,2160,79.614903,0,24,23,47,51,32,83,4,0.459799,0.471391,0.000003
151,wrought,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,1,1,2,1,2,3,5,0.318152,0.32196,0
152,wrote,,1455,7.813770998,1050,3.863252841,3.852707645,1527750,30.18657301,0,220,158,378,1168,1241,2409,4,0.476895,0.486865,0.000264
153,wrongful,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,1,3,5,0.311848,0.316363,0
154,wrongdoing,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,0,1,1,0,1,0,0,0,0
155,wrong,,224,9.684886125,199,5.526493459,5.524511536,44576,53.52345983,0,48,79,127,205,189,394,4,0.4651,0.476551,0.000012
156,written,,2168,7.414971815,1743,3.356435239,3.33886208,3778824,24.88787269,0,231,154,385,1833,1990,3823,4,0.474638,0.485137,0.000306
157,writeup,,3,13.99791989,1,10.81979828,10.81979828,3,151.4546696,0,1,3,4,3,3,6,5,0.362984,0.376277,0
158,write,,624,8.660381809,504,4.597222016,4.592179424,314496,39.81369792,0,55,132,187,583,495,1078,4,0.476332,0.485954,0.000021
159,writ,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,5,3,8,6,4,10,5,0.393313,0.410483,0
160,wristwatch,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.345599,0.354479,0
161,wristband,,7,13.15062203,3,9.721185996,9.721165996,21,127.8396427,0,4,5,9,5,6,11,5,0.371375,0.386137,0
162,wrist,,26,11.83843564,22,7.728755831,7.728545813,572,91.49637848,0,11,12,23,23,17,40,4,0.4408,0.455636,0.000001
163,wrinkle,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,1,2,3,3,3,6,5,0.361167,0.373919,0
164,wrigley,,15,12.38848198,6,9.028038815,9.027988815,90,111.8436961,0,9,11,20,12,15,27,5,0.352734,0.363495,0
165,wright,,98,10.5115647,65,6.645411014,6.644770822,6370,69.85366783,0,44,40,84,91,70,161,4,0.45822,0.470471,0.000057
166,wretch,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,6,0.246207,0.247682,0
167,wrestle,,13,12.53158282,9,8.622573707,8.622493705,117,108.0544965,0,6,7,13,11,13,24,5,0.381906,0.398087,0
168,wrench,,11,12.6986369,4,9.433503923,9.433473923,44,119.7926411,0,7,8,15,10,11,21,4,0.412862,0.430234,0
169,wren,,22,12.00548972,13,8.254848927,8.254728922,286,99.10350396,0,8,14,22,20,16,36,4,0.441941,0.456641,0
170,wreckage,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.378607,0.394397,0
171,wreck,,21,12.05200974,17,7.98658494,7.986424931,357,96.25439949,0,9,9,18,20,15,35,4,0.437098,0.452392,0.000001
172,wreath,,19,12.1520932,12,8.334891634,8.334781631,228,101.2863799,0,8,13,21,18,18,36,4,0.44258,0.457176,0.000006
173,wreak,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.284134,0.290476,0.00001
174,wrathful,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.360829,0.373487,0
175,wrath,,16,12.32394346,13,8.254848927,8.254728922,208,101.7322914,0,5,7,12,13,11,24,4,0.410371,0.42776,0
176,wrap,,13,12.53158282,13,8.254848927,8.254728922,169,103.446323,0,8,7,15,13,11,24,4,0.371438,0.386175,0
177,wow,,12,12.61162553,10,8.517213191,8.517123189,120,107.4159033,0,4,7,11,11,8,19,4,0.400763,0.418136,0.000053
178,woven,,38,11.45894602,30,7.418600903,7.418310866,1140,85.00934727,0,19,20,39,31,34,65,4,0.439577,0.454791,0.000006
179,wove,,5,13.48709426,4,9.433503923,9.433473923,20,127.2305567,0,4,3,7,4,3,7,5,0.340292,0.347561,0
180,wound,,47,11.24638458,28,7.487593774,7.487323743,1316,84.20835913,0,23,21,44,43,33,76,4,0.445949,0.460138,0.000061
181,would,,2738,7.181549172,2027,3.205486138,3.185018503,5549926,23.02035632,0,625,392,1017,2166,2584,4750,4,0.452543,0.472588,0.001111
182,wotan,,10,12.79394708,9,8.622573707,8.622493705,90,110.3167517,0,8,7,15,9,10,19,4,0.436346,0.451773,0
183,worthy,,15,12.38848198,15,8.111748083,8.111608076,225,100.4922449,0,11,7,18,12,14,26,4,0.440482,0.455284,0
184,worthwhile,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,3,3,6,3,3,6,5,0.360375,0.373006,0
185,worthington,,5,13.48709426,3,9.721185996,9.721165996,15,131.1105519,0,2,3,5,3,3,6,5,0.34693,0.356195,0
186,worth,,130,10.22899773,109,6.128450402,6.12736984,14170,62.68790523,0,36,44,80,116,111,227,4,0.463388,0.474555,0.000003
187,worst,,115,10.35160005,102,6.194825471,6.193814981,11730,64.12635565,0,17,44,61,104,65,169,4,0.431866,0.44851,0.000004
188,worshipful,,3,13.99791989,2,10.1266511,10.1266411,6,141.7520509,0,2,2,4,3,3,6,5,0.398442,0.416176,0
189,worship,,150,10.08589688,114,6.083599836,6.08246922,17100,61.35856062,0,40,49,89,135,125,260,4,0.45809,0.470537,0.00001
190,worsen,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,1,3,2,2,4,5,0.398076,0.415824,0
191,worse,,79,10.72708432,78,6.463089458,6.462319176,6162,69.33010561,0,28,36,64,55,69,124,4,0.446341,0.460735,0.000001
192,worry,,18,12.20616042,17,7.98658494,7.986424931,306,97.48553698,0,8,8,16,16,16,32,4,0.395857,0.413066,0
193,worn,,244,9.599363952,137,5.899817358,5.89845646,33428,56.63449407,0,40,47,87,179,239,418,4,0.452774,0.46626,0.000064
194,worm,,80,10.71450554,36,7.236279346,7.235929291,2880,77.53315516,0,25,36,61,58,60,118,4,0.456476,0.469016,0.000005
195,worldwide,,364,9.19937831,334,5.008657291,5.005321801,121576,46.07653325,0,85,134,219,203,286,489,4,0.469889,0.481212,0.000075
196,world,,6790,6.273178692,4798,2.344052283,2.294905062,32578420,14.70465883,0,386,652,1038,6068,5313,11381,4,0.490562,0.505845,0.000843
197,workstation,,7,13.15062203,6,9.028038815,9.027988815,42,118.7243261,0,4,3,7,4,4,8,4,0.389978,0.406728,0
198,workspace,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,0,0,0,0,0,0,0,0,0,0
199,workshop,,32,11.63079627,22,7.728755831,7.728545813,704,89.89158452,0,16,17,33,25,26,51,4,0.447365,0.461228,0
200,worksheet,,1,15.09653218,1,10.81979828,10.81979828,1,163.341433,0,1,1,2,1,1,2,5,0.331274,0.335753,0
201,workplace,,11,12.6986369,11,8.421903011,8.421803008,121,106.9466884,0,4,9,13,10,10,20,4,0.437896,0.453092,0
202,workout,,3,13.99791989,3,9.721185996,9.721165996,9,136.0763828,0,2,3,5,2,3,5,5,0.38543,0.401773,0
203,workmen,,6,13.30477271,6,9.028038815,9.027988815,36,120.1160044,0,5,6,11,5,6,11,4,0.417651,0.434858,0
204,workman,,4,13.71023782,3,9.721185996,9.721165996,12,133.2797719,0,2,4,6,3,4,7,5,0.395927,0.413073,0
205,workforce,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,0,1,1,0,2,2,5,0.321868,0.325067,0
206,workbook,,2,14.403385,2,10.1266511,10.1266411,4,145.8580546,0,2,2,4,2,2,4,5,0.348537,0.358145,0
